feature,importance
num_placements,0.9683695
los_latest_removal,0.003590493
los_current_setting,0.002941029
case_goal_3.0,0.0024745364
case_goal_4.0,0.002031943
placement_type_8.0,0.0017458003
placement_type_2.0,0.0016031457
placement_type_7.0,0.0014742266
placement_type_5.0,0.0012048001
age_at_removal,0.0010659896
placement_type_3.0,0.0010276627
has_clinical_disability,0.00085839274
race_3.0,0.00081636175
case_goal_2.0,0.00070041476
placement_type_6.0,0.00068516436
placement_type_1.0,0.0006687655
NEGLECT,0.00065007707
has_behavioral,0.0005548247
case_goal_1.0,0.00053650327
placement_type_4.0,0.0005075839
NOCOPE,0.0004824497
case_goal_6.0,0.0004138356
race_6.0,0.0003872062
num_removal_reasons,0.00037680214
race_7.0,0.00036171052
PHYABUSE,0.0003415574
race_1.0,0.00033851797
DAPARENT,0.0003283247
has_disability,0.00032297644
HOUSING,0.0003226794
mandatory_removal,0.00032134115
AAPARENT,0.00032102666
ever_adopted,0.0003034704
case_goal_7.0,0.00027763582
total_removals,0.00027594002
race_2.0,0.00025856437
is_male,0.00024795925
race_5.0,0.00023969209
ABANDMNT,0.00022882146
SEXABUSE,0.00017925512
race_4.0,0.00016306536
case_goal_5.0,0.0
